product_id,product_name,category,subcategory,brand,unit_price,cost_price,weight_kg,supplier_id
P101,Wireless Mouse,Electronics,Peripherals,TechBrand,29.99,12.50,0.15,S001
P102,Noise-Cancelling Headphones,Electronics,Audio,SoundMax,149.99,65.00,0.35,S002
P103,USB-C Cable 2m,Electronics,Accessories,CableCo,9.99,2.50,0.05,S001
P104,Mechanical Keyboard,Electronics,Peripherals,KeyMaster,299.99,125.00,1.20,S003
P105,Portable Speaker,Electronics,Audio,SoundMax,49.99,22.00,0.45,S002
P106,4K Monitor 27in,Electronics,Displays,ViewPro,599.99,280.00,6.50,S004
P107,Laptop Pro 15,Electronics,Computers,TechBrand,1299.99,750.00,2.10,S005
P108,Phone Case,Accessories,Protection,CaseCraft,24.99,5.00,0.08,S006
P109,Wireless Charger,Electronics,Power,ChargeTech,74.99,30.00,0.25,S001
P110,Tablet Stand,Accessories,Mounts,DeskPro,199.99,85.00,1.50,S003
P111,Webcam HD,Electronics,Peripherals,TechBrand,39.99,15.00,0.12,S005
