transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,payment_method,status
T001,C001,P101,2,29.99,59.98,2024-01-15,credit_card,completed
T002,C002,P102,1,149.99,149.99,2024-01-16,debit_card,completed
T003,C003,P103,3,9.99,29.97,2024-01-17,paypal,completed
T004,C001,P104,1,299.99,299.99,2024-01-18,credit_card,completed
T005,C004,P101,5,29.99,149.95,2024-01-19,credit_card,pending
T006,C005,P105,2,49.99,99.98,2024-01-20,debit_card,completed
T007,C002,P106,1,599.99,599.99,2024-01-21,credit_card,refunded
T008,C006,P103,10,9.99,99.90,2024-01-22,paypal,completed
T009,C007,P107,1,1299.99,1299.99,2024-01-23,credit_card,completed
T010,C003,P102,2,149.99,299.98,2024-01-24,debit_card,completed
T011,C008,P108,4,24.99,99.96,2024-01-25,paypal,completed
T012,C009,P101,1,29.99,29.99,2024-01-26,credit_card,failed
T013,C010,P109,3,74.99,224.97,2024-01-27,credit_card,completed
T014,C004,P110,1,199.99,-199.99,2024-01-28,debit_card,completed
T015,C001,P103,2,9.99,19.98,2024-01-29,credit_card,completed
T016,C011,P105,1,49.99,49.99,2024-02-01,paypal,completed
T017,C012,P102,2,149.99,299.98,2024-02-02,credit_card,completed
T018,C005,P111,,39.99,,2024-02-03,debit_card,completed
T019,C013,P104,1,299.99,299.99,2024-02-04,credit_card,completed
T020,C014,P107,1,1299.99,1299.99,2024-02-05,credit_card,completed
